City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
Muzhi,65.3667,64.6667,56.37,80,100,7.61,RU,overcast clouds
Wanning,18.8003,110.3967,79.16,86,44,8.08,CN,scattered clouds
Arkhangelsk,64.5401,40.5433,51.91,82,75,4.47,RU,broken clouds
Sistranda,63.7256,8.834,58.89,87,100,6.46,NO,overcast clouds
Revelstoke,50.9832,-118.2023,77.02,41,20,3.44,CA,haze
Ivanava,52.1451,25.5365,65.64,75,60,1.66,BY,broken clouds
Diffa,13.3154,12.6113,85.89,50,10,9.35,NE,clear sky
Fukue,32.6881,128.8419,79.63,82,100,19.1,JP,heavy intensity rain
Camabatela,-8.1881,15.375,65.66,28,0,1.7,AO,clear sky
Sechura,-5.5569,-80.8222,72.23,66,9,17.96,PE,clear sky
Okhotsk,59.3833,143.3,56.07,94,100,10.4,RU,overcast clouds
Buraydah,26.326,43.975,99.05,14,3,8.34,SA,clear sky
Bilma,18.6853,12.9164,89.44,41,100,4.74,NE,overcast clouds
Lamu,-2.2717,40.902,77.22,79,4,23.2,KE,clear sky
Yar-Sale,66.8333,70.8333,50.31,82,0,9.1,RU,clear sky
Araouane,18.9048,-3.5265,99.14,25,65,4.68,ML,broken clouds
Cayenne,4.9333,-52.3333,83.08,79,0,1.01,GF,clear sky
Manokwari,-0.8667,134.0833,78.26,73,100,3.62,ID,overcast clouds
Berdigestyakh,62.0989,126.6992,58.03,71,98,7.76,RU,overcast clouds
Alofi,-19.0595,-169.9187,78.69,89,40,4.61,NU,scattered clouds
Griffith,41.5284,-87.4237,93.97,62,1,1.99,US,clear sky
Seoul,37.5683,126.9778,78.31,94,45,2.3,KR,scattered clouds
Popondetta,-8.7537,148.2534,73.31,88,95,3.02,PG,overcast clouds
Jeremie,18.65,-74.1167,84.36,74,99,7.47,HT,overcast clouds
Baykit,61.67,96.37,63.34,75,6,1.77,RU,clear sky
Walvis Bay,-22.9575,14.5053,69.1,8,7,14.97,NA,clear sky
Rio Grande,-32.035,-52.0986,69.91,68,91,4.92,BR,overcast clouds
Kashi,39.4547,75.9797,83.23,39,75,8.95,CN,broken clouds
Iberia,29.9502,-91.7507,94.1,55,20,5.75,US,few clouds
Chuy,-33.6971,-53.4616,59.16,81,95,5.84,UY,overcast clouds
Leningradskiy,69.3833,178.4167,37.67,93,100,5.1,RU,light rain
Fort Saint James,54.4333,-124.25,68.41,40,98,8.34,CA,overcast clouds
Konevo,62.1215,39.3192,52.86,67,100,5.68,RU,overcast clouds
Khani,41.9563,42.9566,63.97,98,99,1.45,GE,overcast clouds
Solnechnyy,50.7214,136.6319,71.71,66,20,4.0,RU,few clouds
Berlevag,70.8578,29.0864,45.07,86,100,26.44,NO,overcast clouds
Redcliffe,-27.2307,153.0973,59.94,50,0,11.5,AU,clear sky
Ozernovskiy,51.5,156.5167,54.66,98,95,3.02,RU,overcast clouds
Solwezi,-12.1688,26.3894,57.63,68,29,11.05,ZM,scattered clouds
Flin Flon,54.7682,-101.865,73.24,53,75,6.91,CA,smoke
Aberystwyth,52.4155,-4.0829,66.31,85,41,5.3,GB,scattered clouds
Pathein,16.7833,94.7333,78.98,92,100,8.57,MM,overcast clouds
Dondo,-19.6094,34.7431,69.31,72,25,9.71,MZ,light rain
Izazi,-7.2,35.7333,69.76,51,2,11.14,TZ,clear sky
Washington,47.5001,-120.5015,88.93,21,0,4.63,US,clear sky
Maldonado,-34.6667,-54.9167,61.23,85,100,10.16,UY,overcast clouds
Bealanana,-14.55,48.7333,49.46,98,22,4.23,MG,few clouds
Juneau,58.3019,-134.4197,57.25,94,90,1.99,US,moderate rain
North Platte,41.1239,-100.7654,91.98,36,1,4.0,US,clear sky
Cheney,47.4874,-117.5758,90.75,22,20,5.75,US,smoke
Aquiraz,-3.9014,-38.3911,85.21,55,36,9.82,BR,scattered clouds
Yining,29.0361,114.5636,73.72,94,70,2.71,CN,broken clouds
Kalmunai,7.4167,81.8167,81.39,70,100,6.26,LK,overcast clouds
Pando,-34.7167,-55.95,64.8,77,0,8.05,UY,clear sky
Swinford,53.95,-8.95,70.34,87,12,3.4,IE,few clouds
Hay River,60.8156,-115.7999,53.58,71,75,11.5,CA,broken clouds
Lima,-12.0432,-77.0282,62.85,72,90,9.22,PE,overcast clouds
Lompoc,34.6391,-120.4579,91.02,72,90,13.8,US,overcast clouds
Praia Da Vitoria,38.7333,-27.0667,79.05,69,20,14.74,PT,few clouds
Beloha,-25.1667,45.05,62.28,51,68,7.61,MG,broken clouds
Kahuta,33.5913,73.3868,85.86,53,0,5.55,PK,clear sky
Aykhal,66.0,111.5,58.5,58,0,7.96,RU,clear sky
Sayat,38.7839,63.8803,84.07,11,0,14.05,TM,clear sky
Melfi,40.9965,15.6514,78.22,43,2,4.05,IT,clear sky
Marrakesh,31.6315,-8.0083,96.87,26,75,2.3,MA,broken clouds
Irbeyskoye,55.6428,95.4522,60.31,73,7,7.65,RU,clear sky
Zaozerne,45.1582,33.2787,69.94,62,0,9.86,UA,clear sky
Cockburn Town,21.4612,-71.1419,82.76,77,3,15.37,TC,clear sky
Portage,41.1667,-81.1998,83.98,56,40,5.75,US,scattered clouds
Timra,62.487,17.3257,67.68,65,98,3.44,SE,overcast clouds
Robe,-37.1833,139.75,50.07,59,88,29.06,AU,overcast clouds
Todos Santos,23.45,-110.2167,96.3,84,27,7.83,MX,scattered clouds
Faanui,-16.4833,-151.75,76.19,79,30,13.65,PF,light rain
Kandi,11.1342,2.9386,76.19,74,100,3.2,BJ,overcast clouds
Padang,-0.9492,100.3543,77.14,85,82,2.93,ID,broken clouds
Hambantota,6.1241,81.1185,79.2,83,86,14.03,LK,overcast clouds
Husavik,66.0449,-17.3389,66.11,89,56,8.19,IS,broken clouds
Komsomolskiy,40.4272,71.7189,81.82,36,0,9.22,UZ,clear sky
Sungaipenuh,-2.0833,101.3833,64.09,95,68,2.19,ID,broken clouds
Cabedelo,-6.9811,-34.8339,79.47,75,2,16.42,BR,clear sky
Harper,4.375,-7.7169,76.44,69,99,4.25,LR,overcast clouds
Sola,-13.8833,167.55,79.99,78,28,11.34,VU,scattered clouds
Marsabit,2.3284,37.9899,70.47,32,99,20.04,KE,overcast clouds
Te Anau,-45.4167,167.7167,38.43,90,100,2.68,NZ,overcast clouds
Shelburne,44.0787,-80.2041,67.77,95,100,15.12,CA,light rain
Kintampo,8.0563,-1.7306,76.35,70,99,4.09,GH,overcast clouds
Orzinuovi,45.404,9.9216,83.44,58,46,5.17,IT,scattered clouds
Umm Lajj,25.0213,37.2685,87.62,39,0,9.28,SA,clear sky
Ketchikan,55.3422,-131.6461,60.57,74,87,8.66,US,light rain
Half Moon Bay,37.4636,-122.4286,91.92,64,1,1.99,US,clear sky
Porto Torres,40.835,8.3972,86.18,61,14,4.94,IT,few clouds
Pulandian,39.3953,121.9669,78.93,88,29,1.36,CN,scattered clouds
Taber,49.8167,-112.1518,87.28,28,4,2.3,CA,clear sky
Tonantins,-2.8731,-67.8022,80.94,82,62,1.88,BR,broken clouds
Guilin,25.2819,110.2864,77.11,88,22,3.98,CN,few clouds
Manono,-7.3,27.4167,77.38,27,1,5.1,CD,clear sky
Springfield,37.2153,-93.2982,93.42,58,1,5.99,US,clear sky
Hasaki,35.7333,140.8333,73.8,84,0,7.56,JP,clear sky
Leshukonskoye,64.8989,45.7622,45.21,95,95,5.86,RU,light rain
Rocha,-34.4833,-54.3333,59.22,84,100,7.49,UY,overcast clouds
Camocim,-2.9022,-40.8411,83.61,62,23,16.13,BR,few clouds
Bangassou,4.7413,22.8184,70.9,89,100,1.86,CF,light rain
Lavrentiya,65.5833,-171.0,45.52,98,100,10.94,RU,light rain
Tulle,45.3333,1.8333,61.99,85,68,1.63,FR,broken clouds
Ushtobe,45.2514,77.9838,76.71,30,0,8.01,KZ,clear sky
Jiaojiang,28.6803,121.4428,77.0,93,100,26.69,CN,light rain
Mnogovershinnyy,53.9353,139.9242,67.59,85,82,2.55,RU,broken clouds
Dublin,37.7021,-121.9358,95.54,38,1,8.99,US,clear sky
Suntar,62.1444,117.6319,57.04,85,8,5.53,RU,clear sky
Kurilsk,45.2333,147.8833,64.11,88,100,3.87,RU,overcast clouds
Kijang,35.2442,129.2139,80.33,93,100,7.9,KR,overcast clouds
Conselheiro Lafaiete,-20.6603,-43.7861,67.57,36,0,9.04,BR,clear sky
Haines Junction,60.7522,-137.5108,60.75,51,74,6.91,CA,broken clouds
Yemtsa,63.0734,40.3329,52.18,62,100,6.42,RU,overcast clouds
General Roca,-39.0333,-67.5833,52.2,28,92,6.82,AR,overcast clouds
Taksimo,56.3444,114.8794,60.33,74,100,4.14,RU,overcast clouds
Gwadar,25.1216,62.3254,82.24,82,99,8.21,PK,overcast clouds
Mahina,-17.5065,-149.489,82.17,61,20,11.5,PF,few clouds
Sao Joao Da Barra,-21.6403,-41.0511,73.49,63,0,12.66,BR,clear sky
Sabha,27.0377,14.4283,84.87,19,0,9.04,LY,clear sky
Kalka,30.8344,76.9333,80.6,77,100,4.09,IN,overcast clouds
Phan Thiet,10.9333,108.1,78.73,81,84,14.09,VN,broken clouds
Jinji,23.2281,110.8261,77.85,91,73,0.58,CN,light rain
Altamira,-3.2033,-52.2064,91.49,46,40,4.61,BR,scattered clouds
Acapulco,16.8634,-99.8901,85.82,79,20,8.05,MX,few clouds
Semnan,35.5729,53.3971,87.98,37,0,9.04,IR,clear sky
Pisco,-13.7,-76.2167,66.25,68,0,9.22,PE,clear sky
Veraval,20.9,70.3667,82.06,83,93,17.43,IN,overcast clouds
Macusani,-14.0833,-70.4333,46.87,39,3,14.14,PE,clear sky
Mahebourg,-20.4081,57.7,70.09,83,20,9.22,MU,few clouds
Umuarama,-23.7664,-53.325,76.1,41,0,6.62,BR,clear sky
Nykoping,58.753,17.0079,69.66,60,0,3.44,SE,clear sky
Tiksi,71.6872,128.8694,40.42,85,31,5.75,RU,scattered clouds
Thunder Bay,48.4001,-89.3168,89.29,28,1,10.36,CA,smoke
San Pedro,14.35,121.0167,80.15,91,100,17.58,PH,overcast clouds
Mmathubudukwane,-24.6,26.4333,47.26,37,0,3.6,BW,clear sky
Wyndham,37.6985,-77.6125,87.87,71,96,1.01,US,light rain
Bogdana,43.9333,25.0833,65.01,55,2,6.91,RO,clear sky
Pafos,34.7667,32.4167,80.51,89,0,5.75,CY,clear sky
Sinnamary,5.3833,-52.95,80.8,83,100,11.18,GF,light rain
Urazovka,55.4013,45.6186,52.86,69,21,2.84,RU,few clouds
Abaza,52.655,90.0928,64.2,97,100,4.09,RU,overcast clouds
Ukiah,39.1502,-123.2078,105.44,21,1,5.75,US,clear sky
Islamkot,24.6997,70.177,83.91,76,100,17.05,PK,overcast clouds
Qaqortoq,60.7167,-46.0333,50.5,90,84,8.03,GL,broken clouds
Alta Floresta,-9.8756,-56.0861,94.82,28,20,6.91,BR,few clouds
Kuryk,43.2,51.65,82.87,53,0,16.11,KZ,clear sky
Dawei,14.0833,98.2,75.54,97,100,4.09,MM,overcast clouds
Campo Maior,-4.8278,-42.1686,95.11,24,34,5.3,BR,scattered clouds
Hamilton,39.1834,-84.5333,89.94,57,75,1.99,US,broken clouds
Florianopolis,-27.6146,-48.5012,71.26,74,0,5.75,BR,clear sky
Kensington,-33.9167,151.2167,52.72,59,0,24.16,AU,clear sky
Fredericksburg,38.3032,-77.4605,88.83,62,75,1.01,US,haze
Dingle,10.9995,122.6711,78.12,86,96,11.99,PH,overcast clouds
Oussouye,12.485,-16.5469,84.38,68,90,8.23,SN,overcast clouds
Markova,48.6758,24.4138,62.47,79,83,4.45,UA,broken clouds
Watertown,42.3709,-71.1828,85.3,48,40,3.0,US,scattered clouds
Zyryanka,65.75,150.85,63.73,57,100,1.61,RU,overcast clouds
Vydrino,51.485,104.8461,54.88,69,54,4.23,RU,broken clouds
Quatre Cocos,-20.2078,57.7625,69.91,80,26,9.95,MU,scattered clouds
Mekhe,15.1097,-16.6218,81.16,63,31,13.09,SN,scattered clouds
Dingzhou,38.5131,114.9956,77.11,87,4,0.47,CN,clear sky
Ascension,30.2169,-90.9001,98.6,59,40,3.44,US,scattered clouds
Kemerovo,55.3333,86.0833,65.89,94,0,0.0,RU,light rain
Zadar,44.1197,15.2422,80.65,53,0,6.91,HR,clear sky
Arman,59.7,150.1667,55.11,97,100,4.92,RU,overcast clouds
Hazorasp,41.3194,61.0742,80.44,12,0,8.3,UZ,clear sky
Taganak,6.0833,118.3,80.74,78,80,10.74,PH,broken clouds
Chicama,-7.8447,-79.1469,66.74,62,6,10.04,PE,clear sky
Kropotkin,45.4375,40.5756,73.8,44,77,7.0,RU,broken clouds
Gornopravdinsk,60.05,69.9,52.41,95,88,2.82,RU,overcast clouds
Tornio,65.8481,24.1466,57.22,86,95,10.4,FI,overcast clouds
Lalin,42.7167,-8.1167,62.33,83,29,4.25,ES,scattered clouds
San Lawrenz,36.0553,14.204,79.86,67,0,5.77,MT,clear sky
Brazzaville,-4.2658,15.2832,73.76,78,4,5.75,CG,clear sky
Oranjemund,-28.55,16.4333,64.53,22,23,6.6,NA,few clouds
Marilia,-22.2139,-49.9458,79.36,23,0,5.55,BR,clear sky
Sioux Lookout,50.1001,-91.917,80.98,41,90,17.27,CA,smoke
Tazmalt,36.3868,4.3989,92.3,24,81,3.09,DZ,broken clouds
Biloela,-24.4167,150.5,50.07,58,0,5.21,AU,clear sky
Micheweni,-4.9667,39.8333,76.12,73,1,18.84,TZ,clear sky
Matadi,-5.8167,13.45,75.07,74,0,8.7,CD,clear sky
Buin,-33.7333,-70.75,52.12,72,100,4.68,CL,light rain
Bilibino,68.0546,166.4372,52.52,63,12,1.32,RU,few clouds
Kapoeta,4.7717,33.5903,71.85,86,100,5.3,SS,overcast clouds
Bagotville,-28.9833,153.4167,56.64,55,0,6.76,AU,clear sky
Novobiryusinskiy,56.9578,97.7076,61.88,71,100,4.68,RU,overcast clouds
Morshansk,53.4435,41.8107,61.77,60,88,3.15,RU,overcast clouds
Ostrovnoy,68.0531,39.5131,48.45,91,97,16.73,RU,overcast clouds
Viedma,-40.8135,-62.9967,50.49,41,100,11.03,AR,overcast clouds
Pangody,65.85,74.4859,54.28,94,100,5.97,RU,overcast clouds
Monte Patria,-30.6919,-70.9467,53.55,69,98,4.76,CL,overcast clouds
Aksu,41.1231,80.2644,82.99,37,0,3.29,CN,clear sky
Green Valley,31.8543,-110.9937,73.99,92,100,1.32,US,light rain
Ballina,-28.8667,153.5667,56.79,51,0,9.82,AU,clear sky
Carman,49.4992,-98.0016,84.9,30,0,17.27,CA,clear sky
Galesong,-5.3166,119.3661,66.22,65,29,6.89,ID,scattered clouds
Chapais,49.7834,-74.8492,76.78,32,100,13.27,CA,overcast clouds
Sena Madureira,-9.0656,-68.6569,97.54,25,2,1.63,BR,clear sky
Chaiya,9.3862,99.1986,78.8,84,100,4.36,TH,moderate rain
Aksarka,66.5606,67.7975,57.04,66,50,13.11,RU,scattered clouds
Mogocha,53.7333,119.7667,56.8,99,100,3.51,RU,light rain
Penzance,50.1186,-5.5371,65.08,90,59,12.64,GB,broken clouds
Muros,42.7762,-9.0603,66.7,93,49,1.86,ES,scattered clouds
Cabuyaro,4.2817,-72.794,84.81,62,100,5.12,CO,light rain
Verkhneyarkeyevo,55.4505,54.3145,55.87,86,67,6.69,RU,broken clouds
Hokitika,-42.7167,170.9667,46.67,82,92,7.78,NZ,overcast clouds
Bonnyville,54.2668,-110.735,76.32,25,8,20.87,CA,clear sky
Thanh Hoa,19.8,105.7667,76.98,93,16,4.76,VN,few clouds
Sheksna,59.21,38.5107,49.96,60,77,1.7,RU,broken clouds
Kristiinankaupunki,62.2743,21.376,58.08,81,24,6.91,FI,few clouds
Labuhan,-6.8844,112.2051,72.79,85,5,6.73,ID,clear sky
Vardo,70.3705,31.1107,46.11,83,100,27.72,NO,overcast clouds
Puerto Escondido,15.85,-97.0667,92.23,66,40,10.36,MX,scattered clouds
Tukrah,32.5341,20.5791,78.69,74,0,10.92,LY,clear sky
Jacareacanga,-6.2222,-57.7528,97.88,23,99,3.74,BR,overcast clouds
Nichinan,31.6,131.3667,77.76,90,100,11.14,JP,overcast clouds
Gloversville,43.0528,-74.3438,82.29,54,1,5.99,US,clear sky
Celestun,20.8667,-90.4,86.13,68,17,14.05,MX,few clouds
Tiarei,-17.5333,-149.3333,82.42,73,32,10.67,PF,scattered clouds
Shibetsu,43.659,145.132,66.18,98,96,7.29,JP,overcast clouds
Impfondo,1.6381,18.0667,76.62,59,32,1.32,CG,scattered clouds
Kitgum,3.2783,32.8867,68.0,81,100,1.52,UG,overcast clouds
Santiago Del Estero,-27.7951,-64.2615,78.8,26,94,3.78,AR,overcast clouds
Agnibilekrou,7.1344,-3.2047,72.55,82,67,2.39,CI,broken clouds
Changli,39.7042,119.1506,73.38,88,15,2.91,CN,light rain
Amazar,53.858,120.875,57.69,98,100,2.21,RU,light rain
Hammerfest,70.6634,23.6821,45.05,87,90,11.5,NO,overcast clouds
Martyush,56.4,61.8819,61.88,70,84,2.13,RU,broken clouds
San Borja,-14.8167,-66.85,91.89,28,0,5.28,BO,clear sky
Najran,17.4924,44.1277,84.85,37,80,7.61,SA,broken clouds
Itarema,-2.9248,-39.9167,80.87,66,41,16.55,BR,scattered clouds
Mitha Tiwana,32.2486,72.1108,98.02,38,0,6.26,PK,clear sky
Nola,40.922,14.5329,81.21,71,7,2.73,IT,clear sky
Caborca,30.5838,-111.101,81.99,51,100,5.48,MX,light rain
Lonevag,60.5262,5.4937,68.2,89,63,2.21,NO,broken clouds
Shenjiamen,29.9576,122.298,79.41,90,100,48.77,CN,light rain
Praia,14.9215,-23.5087,77.54,65,75,9.22,CV,broken clouds
Miyako,39.6367,141.9525,71.46,90,30,3.49,JP,scattered clouds
Xique-Xique,-10.8218,-42.7263,80.87,48,66,13.4,BR,broken clouds
Kargasok,59.0556,80.8572,64.24,72,6,6.69,RU,clear sky
Qandala,11.472,49.8728,88.7,51,55,14.56,SO,broken clouds
Taoudenni,22.6783,-3.9836,104.61,7,3,9.42,ML,clear sky
Tual,-5.6667,132.75,78.24,81,100,12.24,ID,overcast clouds
Inverkeithing,56.033,-3.3956,67.89,83,0,9.22,GB,clear sky
Sokoni,-6.4333,39.55,76.26,75,75,22.48,TZ,light rain
Saint-Augustin,51.226,-58.6502,58.69,66,8,9.19,CA,clear sky
Cartagena,10.3997,-75.5144,87.42,74,40,16.11,CO,scattered clouds
Rafaela,-31.2503,-61.4867,75.99,40,21,1.01,AR,few clouds
Maravatio,19.9,-100.45,74.71,44,17,5.3,MX,few clouds
Concarneau,47.875,-3.9225,65.05,91,35,10.16,FR,scattered clouds
Le Port,-20.9373,55.2919,68.0,77,54,5.59,RE,broken clouds
Champerico,14.3,-91.9167,91.29,70,99,5.55,GT,overcast clouds
Vila Franca Do Campo,37.7167,-25.4333,72.01,81,11,8.05,PT,few clouds
Hualmay,-11.0964,-77.6139,66.61,74,20,9.24,PE,few clouds
Bowen,-20.0167,148.2333,63.27,53,5,11.23,AU,clear sky
Gubkinskiy,64.434,76.5026,55.15,96,100,11.74,RU,overcast clouds
Vidim,56.4088,103.1106,58.37,73,6,4.0,RU,clear sky
Brigantine,39.4101,-74.3646,85.5,59,20,9.22,US,few clouds
Cambuci,-21.5753,-41.9111,72.84,56,0,4.03,BR,clear sky
Colares,38.7992,-9.4469,69.48,70,20,5.01,PT,few clouds
Miyang,24.4042,103.4428,65.89,98,100,4.54,CN,light rain
Evanton,57.6638,-4.34,65.14,92,20,2.51,GB,few clouds
Desbiens,48.4178,-71.9495,83.05,45,100,6.22,CA,overcast clouds
Alice Town,25.7167,-79.3,83.5,69,100,16.93,BS,overcast clouds
Sampit,-2.5333,112.95,72.05,94,8,2.64,ID,clear sky
Wloclawek,52.6482,19.0678,70.41,67,87,6.91,PL,overcast clouds
Oistins,13.0667,-59.5333,86.09,70,20,10.36,BB,few clouds
Itatinga,-23.1017,-48.6158,72.77,28,0,3.02,BR,clear sky
Koindu,8.4386,-10.3253,69.15,98,94,2.95,GN,overcast clouds
Kenai,60.5544,-151.2583,59.09,92,90,11.5,US,overcast clouds
Worland,44.0169,-107.9554,92.68,20,1,1.99,US,clear sky
Ornskoldsvik,63.2909,18.7153,67.15,68,87,4.61,SE,overcast clouds
Kushima,31.4583,131.2333,78.12,92,100,11.34,JP,overcast clouds
Lyngseidet,69.5763,20.2189,51.48,99,100,4.16,NO,light rain
Vrnjacka Banja,43.6167,20.9,67.24,62,0,3.62,RS,clear sky
Tibu,8.639,-72.7358,92.57,47,100,3.89,CO,overcast clouds
Nome,64.5011,-165.4064,49.15,87,90,6.91,US,overcast clouds
Cooma,-36.2333,149.1333,33.57,80,40,23.02,AU,scattered clouds
Mecca,21.4267,39.8261,88.61,34,68,6.67,SA,broken clouds
Taltal,-25.4,-70.4833,60.85,68,19,7.18,CL,few clouds
Hojai,26.0,92.8667,79.32,86,100,3.87,IN,overcast clouds
Tabas,33.5959,56.9244,95.68,9,0,12.12,IR,clear sky
Karasjok,69.4719,25.5112,48.31,76,100,11.27,NO,overcast clouds
Hobyo,5.3505,48.5268,77.99,73,54,27.98,SO,broken clouds
Omboue,-1.5746,9.2618,73.72,75,70,7.54,GA,broken clouds
Almazar,40.3217,69.0106,85.71,17,0,8.03,UZ,clear sky
Mancora,-4.1078,-81.0475,72.18,75,49,13.53,PE,scattered clouds
Pangai,-19.8,-174.35,78.1,79,0,3.8,TO,light rain
Camana,-16.6228,-72.7111,63.9,74,50,10.36,PE,scattered clouds
Letlhakane,-21.4167,25.5833,51.4,52,0,15.75,BW,clear sky
Coihaique,-45.5752,-72.0662,39.81,81,0,3.44,CL,clear sky
Suhbaatar,50.2314,106.2078,58.21,68,57,4.03,MN,broken clouds
Gauripur,26.0835,89.9616,79.83,91,100,5.82,IN,overcast clouds
Teguise,29.0605,-13.564,70.02,78,20,19.57,ES,few clouds
Apata,45.95,25.5167,63.91,74,17,2.98,RO,few clouds
Manado,1.487,124.8455,75.97,88,40,0.0,ID,scattered clouds
Perafita,41.1825,-8.2545,63.21,84,53,3.67,PT,broken clouds
Kolpashevo,58.3131,82.9089,61.86,73,3,3.74,RU,clear sky
Acajutla,13.5928,-89.8275,97.14,56,100,6.69,SV,overcast clouds
Yaan,7.3833,8.5667,72.32,92,100,2.91,NG,light rain
Rettikhovka,44.1683,132.7669,69.26,85,12,3.71,RU,few clouds
Maralal,1.0968,36.698,59.43,82,100,2.8,KE,light rain
Zambrow,52.9855,22.2432,68.2,62,99,3.22,PL,overcast clouds
Itacoatiara,-3.1431,-58.4442,93.13,38,100,3.06,BR,overcast clouds
Port Moresby,-9.4431,147.1797,73.92,91,100,3.98,PG,overcast clouds
Makkaveyevo,51.7533,113.9454,56.12,84,72,3.58,RU,broken clouds
Sorland,67.667,12.6934,52.25,95,100,15.77,NO,overcast clouds
Yambio,4.5721,28.3955,68.41,92,76,2.57,SS,broken clouds
Kalevala,65.2,31.1667,55.08,64,100,6.04,RU,overcast clouds
Strezhevoy,60.7333,77.5889,62.58,92,89,11.25,RU,overcast clouds
Omsukchan,62.5333,155.8,53.51,86,98,5.88,RU,overcast clouds
Pokhara,28.2333,83.9833,74.12,97,99,0.65,NP,overcast clouds
Shunyi,40.125,116.6453,80.83,94,47,4.47,CN,scattered clouds
Fallon,39.4735,-118.7774,96.58,10,20,5.75,US,smoke
Hervey Bay,-25.2986,152.8535,57.04,55,1,10.2,AU,clear sky
Kinkala,-4.3614,14.7644,71.91,47,4,3.69,CG,clear sky
Havre-Saint-Pierre,50.2334,-63.5986,64.76,59,1,5.75,CA,clear sky
Biltine,14.5333,20.9167,87.76,48,100,11.68,TD,overcast clouds
Cherdyn,60.403,56.4787,43.72,72,43,4.47,RU,scattered clouds
Tobol,52.6844,62.5794,63.77,86,87,8.32,KZ,overcast clouds
Debre Birhan,9.6833,39.5333,52.52,88,100,3.09,ET,light rain
Sompeta,18.9333,84.6,82.76,78,100,5.82,IN,overcast clouds
Valera,9.3178,-70.6036,83.46,71,100,2.51,VE,overcast clouds
Arteaga,18.4667,-102.4167,77.77,69,86,1.66,MX,overcast clouds
College,64.8569,-147.8028,62.26,87,40,5.99,US,scattered clouds
Ayr,55.4627,-4.6339,67.98,77,0,2.3,GB,clear sky
Dukat,62.55,155.55,53.15,83,99,5.12,RU,overcast clouds
Pacific Grove,36.6177,-121.9166,83.8,78,1,5.01,US,clear sky
Lulea,65.5842,22.1547,62.67,67,0,5.75,SE,clear sky
Kinsale,51.7075,-8.5306,63.77,82,75,4.61,IE,broken clouds
Roald,62.5833,6.1333,62.91,94,90,2.3,NO,mist
Troina,37.7854,14.5985,71.1,37,0,1.97,IT,clear sky
Weyburn,49.6668,-103.8511,82.62,23,0,17.27,CA,clear sky
Fort Nelson,58.8053,-122.7002,69.39,43,75,11.5,CA,broken clouds
Farah,32.5,62.5,89.56,11,5,4.65,AF,clear sky
